Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Quantity,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
luckrain 10pcs cookware set,,190,,,61,22.9508,75,,1,0,1,0,1,,-1,,,,,
unique regina 10pcs cookware set,,191,,,50,50,75,,1,0,1,0,1,,-2,,,,,
royalife 6pcs cookware set,,192,,,28,42.8571,40,,1,0,1,0,1,,-1,,,,,
platinum 6pcs PL-DC1006,,193,,,32,56.25,50,,1,0,1,0,1,,-5,,,,,
hot chef 7pcs cookware set,,194,,,29,37.931,40,,1,0,1,0,1,,-1,,,,,
VVK 10pcs granite set,,195,,,63,19.0476,75,,1,0,1,0,1,,-1,,,,,
gyoum sunshine kitchen pot  set,,196,,,32,40.625,45,,1,0,1,0,1,,-28,,,,,
gxshaungyu 9pcs cookware set,,197,,,26,34.6154,35,,1,1,1,0,1,,-78,,,,,
gxshaungyu 15pcs cookware set,,198,,,21,19.0476,25,,1,0,1,0,1,,-203,,,,,
gxshaungyu 8pcs cookware set,,199,,,13,53.8462,20,,1,0,1,0,1,,-20,,,,,
10pcs cookware set royalife,,200,,,62.75,19.5219,75,,1,0,1,0,1,,0,,,,,
B.H.N,,201,,,72,25,90,,1,0,1,0,1,,0,,,,,
platinum 10pcs PL-DB1014,,202,,,65,23.0769,80,,1,0,1,0,1,,-3,,,,,
granite cookware set 10pcs athend series,,203,,,63,19.0476,75,,1,0,1,0,1,,-2,,,,,
unique 10pcs ceramic cookware set,,204,,,58,20.6897,70,,1,0,1,0,1,,0,,,,,
9pcs bowen,,205,,,33,51.5152,50,,1,0,1,0,1,,-1,,,,,
3pcs soup pots,,206,,,17.5,71.4286,30,,1,0,1,0,1,,-4,,,,,
wove beige pots 10pcs,,207,,,28,42.8571,40,,1,1,1,0,1,,-14,,,,,
3pcs soup pot ceramic bowls,,208,,,12.5,60,20,,1,0,1,0,1,,-6,,,,,
17pcs golden tea pot gift box,,209,,,26.5,13.2075,30,,1,0,1,0,1,,-2,,,,,
butter dish 95-30,,210,,,3.5,128.5714,8,,1,0,1,0,1,,-1,,,,,
spice bottle 9612,,211,,,6.2,93.5484,12,,1,0,1,0,1,,0,,,,,
spice rack 8769,,212,,,13,53.8462,20,,1,0,1,0,1,,0,,,,,
spice rack 9414,,213,,,9.2,63.0435,15,,1,0,1,0,1,,0,,,,,
spice bottle 8998,,214,,,13,53.8462,20,,1,0,1,0,1,,-1,,,,,
spice bottle 8772,,215,,,8.2,82.9268,15,,1,0,1,0,1,,-1,,,,,
spice rack 9416,,216,,,15,66.6667,25,,1,0,1,0,1,,-1,,,,,
ceramic bowl 9630,,217,,,21,42.8571,30,,1,0,1,0,1,,0,,,,,
